mc_trial,method,precision,recall,f1,accuracy,tp,tn,fp,fn
47,depth.FMp,0.4857142857142857,0.37777777777777777,0.425,0.8466666666666667,17,237,18,28
47,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
47,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
47,depth.RPp,0.27586206896551724,0.5333333333333333,0.36363636363636365,0.72,24,192,63,21
47,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
48,depth.FMp,0.6388888888888888,0.5111111111111111,0.5679012345679012,0.8833333333333333,23,242,13,22
48,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
48,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
48,depth.RPp,0.2627118644067797,0.6888888888888889,0.3803680981595093,0.6633333333333333,31,168,87,14
48,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
49,depth.FMp,0.6538461538461539,0.37777777777777777,0.4788732394366198,0.8766666666666667,17,246,9,28
49,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
49,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
49,depth.RPp,0.28125,0.6,0.3829787234042553,0.71,27,186,69,18
49,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
50,depth.FMp,0.46153846153846156,0.6666666666666666,0.5454545454545455,0.8333333333333334,30,220,35,15
50,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
50,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
50,depth.RPp,0.37254901960784315,0.4222222222222222,0.3958333333333333,0.8066666666666666,19,223,32,26
50,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
51,depth.FMp,0.43037974683544306,0.7555555555555555,0.5483870967741935,0.8133333333333334,34,210,45,11
51,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
51,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
51,depth.RPp,0.38461538461538464,0.5555555555555556,0.4545454545454546,0.8,25,215,40,20
51,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
52,depth.FMp,0.390625,0.5555555555555556,0.45871559633027525,0.8033333333333333,25,216,39,20
52,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
52,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
52,depth.RPp,0.23255813953488372,0.6666666666666666,0.3448275862068966,0.62,30,156,99,15
52,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
53,depth.FMp,0.55,0.4888888888888889,0.5176470588235293,0.8633333333333333,22,237,18,23
53,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
53,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
53,depth.RPp,0.3258426966292135,0.6444444444444445,0.4328358208955224,0.7466666666666667,29,195,60,16
53,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
54,depth.FMp,0.42857142857142855,0.6,0.5,0.82,27,219,36,18
54,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
54,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
54,depth.RPp,0.26153846153846155,0.7555555555555555,0.3885714285714286,0.6433333333333333,34,159,96,11
54,WICMAD,1.0,0.17777777777777778,0.3018867924528302,0.8766666666666667,8,255,0,37
55,depth.FMp,0.6451612903225806,0.4444444444444444,0.5263157894736842,0.88,20,244,11,25
55,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
55,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
55,depth.RPp,0.4107142857142857,0.5111111111111111,0.4554455445544554,0.8166666666666667,23,222,33,22
55,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
56,depth.FMp,0.4025974025974026,0.6888888888888889,0.5081967213114754,0.8,31,209,46,14
56,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
56,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
56,depth.RPp,0.2459016393442623,0.6666666666666666,0.3592814371257485,0.6433333333333333,30,163,92,15
56,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
57,depth.FMp,1.0,0.3111111111111111,0.4745762711864407,0.8966666666666666,14,255,0,31
57,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
57,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
